Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Status,Created,Custom field (Start Quantity),Custom field (Rejected Quantity),Custom field (Conclusion),Custom field (Sheet Numbers),Custom field (Rejected Sensors),Time Spent
QAG - Wearable Line - Outer Layer,QAG-499,37077,LN-R00186,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,In Progress,26/Jan/26 2:35 PM,133.0,,,"Z32A-584

Z32A-586

Z32A-556

Z32A-585

Z32A-583",,
QAG - Wearable Line - Outer Layer,QAG-498,37075,LN-R00185,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Release,26/Jan/26 12:14 PM,144.0,7.0,"144 sensors are in this lot, 3 sensors were removed during Pre OL. 

7 sensors failed in total:

* 3 sensors removed at pre OL

* 1 sensor failed for bent needle
* 1 sensor failed for missing image
* 1 sensor failed for lumps
* 1 sensor failed for fibres

137 sensors will proceed to the next manufacturing step after being approved","Z31T-622

Z31T-620

Z31T-621

Z31U-612

Z31T-619

Z31U-615","||*Sensor ID*||*Failure Mode*||
|Z31T-619-F3|Bent Needle|
|Z31T-619-F6|Missing Image|
|Z31T-620-E2|Sensor Removed|
|Z31T-621-C8|Sensor Removed|
|Z31T-621-D2|Sensor Removed|
|Z31T-622-C2|Lumps|
|Z31U-612-A7|Fibre|",
QAG - Wearable Line - Outer Layer,QAG-495,36849,LN-R00184,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,In Progress,22/Jan/26 11:36 AM,12.0,2.0,"This lot has 12 sensors, after review, 2 sensors are rejected due to Bent needle and Lumps. 

Multiple sensors in this lot exceed the 30 micron thick threshold, it has been requested from the head of BIVP that we ignore the thresholds and only fail for cosmetic failures. 

10 sensors will proceed to the next manufacturing step",Z32A-549,"||*Sensor ID*||*Failure Modes*||
|Z32A-549-D5|Bent Needle|
|Z32A-549-F5|Lumps|",
QAG - Wearable Line - Final Inspection,QAG-494,36848,LN-C00481,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Release,22/Jan/26 11:36 AM,116.0,19.0,"After QEng revision, 12 sensors failed in this lot leaving 104 sensors to pack-out 

* 6 sensors failed for fibres
* 2 sensors failed for final inspection images being incorrectly imaged (this is up to the SME to decide if pass or fail)
* 2 sensors failed for OL lumps
* 2 sensors were removed before adhesive inspection. Failed and removed by technician



After Review 97 sensors will proceed","Z31T-619, Z31T-616, Z31T-617, Z31T-618","||*Sensor ID*||*Failure Mode*||
|Z31T-616-A5|Fibres|
|Z31T-616-D4|Sensor Removed|
|Z31T-617-A3|Fibres|
|Z31T-617-A6|Fibres|
|Z31T-617-B4|Fibres|
|Z31T-617-C2|OL Lumps / Bulging Needle|
|Z31T-617-C6|OL Lumps / Bulging Needle|
|Z31T-617-D1|Damaged Needle|
|Z31T-617-D5|Fibres|
|Z31T-617-E7|Sensor Removed|
|Z31T-617-E8|Damaged Needle|
|Z31T-617-F7|Fibres|
|Z31T-617-F8|OL Lumps / Bulging Needle|
|Z31T-618-D3|Fibres|
|Z31T-618-F3|Fibres|
|Z31T-619-A3|OL Lumps / Bulging Needle|
|Z31T-619-C1|Final Inspection not Ingested|
|Z31T-619-D4|Final Inspection not Ingested|
|Z31T-619-E3|Fibres|",
QAG - Wearable Line - Final Inspection,QAG-493,36843,LN-C00480,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Release,22/Jan/26 10:29 AM,122.0,16.0,"This lot has 122 sensors, of which 27 have failed. 

!image-20260122-105434.png|width=273,alt=""image-20260122-105434.png""!

* 7 Sensors do not have Adhesive Inspection Images (techs are looking into it)
* 2 sensors failed for bad print (upstream failure)
* 1 sensor failed for damaged needle
* 1 sensor failed for bent needle
* 5 Sensors failed for fibres
* 2 sensors failed for height
* 2 sensors failed for lumpy OL



After SME review, the accepted quantity will continue to the next manufacturing step. ","Z31U-610

Z31U-614

Z31U-613

Z31U-615","||*Sensor ID*||*Failure Mode*||
|Z31U-610-C7|OL Lumps / Bulging Needle|
|Z31U-610-C8|Bad Print|
|Z31U-610-E2|OL Lumps / Bulging Needle|
|Z31U-610-F5|Fibres|
|Z31U-613-B1|Bent Needle|
|Z31U-613-B5|SME Fail|
|Z31U-613-E8|Fibres|
|Z31U-614-A2|Damaged Needle|
|Z31U-614-A7|Fibres|
|Z31U-614-D2|Fibres|
|Z31U-614-D3|Fibres|
|Z31U-614-D5|Height|
|Z31U-614-D8|Height|
|Z31U-615-B4|Bent Needle|
|Z31U-615-B5|Fibres|
|Z31U-615-C8|Bad Print|",
QAG - Wearable Line - Outer Layer,QAG-492,36661,LN-R00182,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Disposition,20/Jan/26 2:26 PM,144.0,13.0,"!image-20260120-143749.png|width=779,alt=""image-20260120-143749.png""!

8 Bent Needle Failures

1 Fibre fail

4 Sensors removed at pre OL","Z31T-619

Z31T-616

Z31T-617

Z31T-618","||Sensor ID||Failure Mode||
|Z31T-616-B5|Bent Needle|
|Z31T-617-B5|Bent Needle|
|Z31T-617-C3|Bent Needle|
|Z31T-617-C8|Bent Needle|
|Z31T-617-D2|Sensor Removed|
|Z31T-617-D7|Sensor Removed|
|Z31T-617-F1|Sensor Removed|
|Z31T-618-B7|Bent Needle|
|Z31T-618-C7|Sensor Removed|
|Z31T-618-D6|Fibre|
|Z31T-618-E5|Bent Needle|
|Z31T-618-F6|Bent Needle|
|Z31T-619-B5|Bent Needle|",
QAG - Wearable Line - Outer Layer,QAG-491,36651,LN-R00181,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Disposition,20/Jan/26 11:28 AM,144.0,12.0,"!image-20260120-115231.png|width=779,alt=""image-20260120-115231.png""!

Pre OL sensors are the most dominant failure type

* 9 sensors failed at pre OL and were removed
* 2 Sensors failed for fibres
* 1 sensor failed for bent needle

As per indications from BIVP,  we are only failing for cosmetic failures and not failing for mean or max WE thickness","Z31U-610

Z31U-614

Z31U-613

Z31U-615","||*Sensor ID*||*Failure Mode*||
|Z31U-610-C2|Bent Needle|
|Z31U-610-A4|Fibre|
|Z31U-614-E4|Fibre|
|Z31U-610-B2|Sensor Removed|
|Z31U-610-D1|Sensor Removed|
|Z31U-613-C7|Sensor Removed|
|Z31U-613-D7|Sensor Removed|
|Z31U-614-C1|Sensor Removed|
|Z31U-615-A3|Sensor Removed|
|Z31U-615-A4|Sensor Removed|
|Z31U-615-D2|Sensor Removed|
|Z31U-615-D4|Sensor Removed|",
QAG - Wearable Line - Screen Print,QAG-490,36593,LN-P00183,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Disposition,19/Jan/26 4:33 PM,192.0,85.0,"!image-20260120-095002.png|width=779,alt=""image-20260120-095002.png""!

Majority of the failures were due to missing or incomplete print

25 Fibre and lumps were detected as well","Z32A-584

Z32A-583

Z32A-585

Z32A-586","||*Sensor ID*||*Failure Mode*||
|Z32A-583-A2|Fibre|
|Z32A-583-A7|Fibre|
|Z32A-583-A8|Print Incomplete or Missing|
|Z32A-583-B1|Fibre|
|Z32A-583-B2|Fibre|
|Z32A-583-B3|Fibre|
|Z32A-583-B8|Print Incomplete or Missing|
|Z32A-583-C1|Fibre|
|Z32A-583-C2|Fibre|
|Z32A-583-C3|Fibre|
|Z32A-583-C6|Fibre|
|Z32A-583-C8|Fibre|
|Z32A-583-D1|Print Incomplete or Missing|
|Z32A-583-D2|Print Incomplete or Missing|
|Z32A-583-D3|Print Incomplete or Missing|
|Z32A-583-D4|Print Incomplete or Missing|
|Z32A-583-D5|Fibre|
|Z32A-583-D8|Fibre|
|Z32A-583-E1|Print Incomplete or Missing|
|Z32A-583-E2|Print Incomplete or Missing|
|Z32A-583-E8|Excessive Ink or Lumps|
|Z32A-583-F1|Print Incomplete or Missing|
|Z32A-583-F2|Print Incomplete or Missing|
|Z32A-583-F3|Print Incomplete or Missing|
|Z32A-583-F5|Fibre|
|Z32A-583-F7|Fibre|
|Z32A-584-A5|Print Incomplete or Missing|
|Z32A-584-A6|No Measurements|
|Z32A-584-A8|Sensor Removed|
|Z32A-584-B2|Fibre|
|Z32A-584-B5|Fibre|
|Z32A-584-C1|Fibre|
|Z32A-584-C2|Print Incomplete or Missing|
|Z32A-584-C8|Fibre|
|Z32A-584-D1|Fibre|
|Z32A-584-D2|Print Incomplete or Missing|
|Z32A-584-D3|Print Incomplete or Missing|
|Z32A-584-D5|Fibre|
|Z32A-584-E2|Print Incomplete or Missing|
|Z32A-584-E3|Print Incomplete or Missing|
|Z32A-584-E4|Print Incomplete or Missing|
|Z32A-584-F1|Print Incomplete or Missing|
|Z32A-584-F2|Print Incomplete or Missing|
|Z32A-584-F3|Print Incomplete or Missing|
|Z32A-584-F4|Print Incomplete or Missing|
|Z32A-584-F5|Print Incomplete or Missing|
|Z32A-585-A1|Height |
|Z32A-585-A3|No Measurements|
|Z32A-585-A5|Print Incomplete or Missing|
|Z32A-585-A8|Print Incomplete or Missing|
|Z32A-585-B8|Print Incomplete or Missing|
|Z32A-585-C1|Print Incomplete or Missing|
|Z32A-585-D3|Print Incomplete or Missing|
|Z32A-585-D4|Print Incomplete or Missing|
|Z32A-585-D6|Fibre|
|Z32A-585-D7|Fibre|
|Z32A-585-E1|Print Incomplete or Missing|
|Z32A-585-E3|Print Incomplete or Missing|
|Z32A-585-F1|Print Incomplete or Missing|
|Z32A-585-F2|Print Incomplete or Missing|
|Z32A-585-F3|Print Incomplete or Missing|
|Z32A-585-F8|Fibre|
|Z32A-586-A1|Print Incomplete or Missing|
|Z32A-586-A3|No Measurements|
|Z32A-586-A5|Print Incomplete or Missing|
|Z32A-586-A7|Fibre|
|Z32A-586-B1|Print Incomplete or Missing|
|Z32A-586-B5|Height |
|Z32A-586-B7|Fibre|
|Z32A-586-C1|Print Incomplete or Missing|
|Z32A-586-C2|Print Incomplete or Missing|
|Z32A-586-C3|Print Incomplete or Missing|
|Z32A-586-D1|Print Incomplete or Missing|
|Z32A-586-D2|Print Incomplete or Missing|
|Z32A-586-D3|Print Incomplete or Missing|
|Z32A-586-D4|Print Incomplete or Missing|
|Z32A-586-D5|Print Incomplete or Missing|
|Z32A-586-E1|Print Incomplete or Missing|
|Z32A-586-E2|Print Incomplete or Missing|
|Z32A-586-E3|Print Incomplete or Missing|
|Z32A-586-E4|Print Incomplete or Missing|
|Z32A-586-F1|Print Incomplete or Missing|
|Z32A-586-F2|Print Incomplete or Missing|
|Z32A-586-F3|Print Incomplete or Missing|
|Z32A-585-F6|Print Incomplete or Missing|",
QAG - Wearable Line - QA Release,QAG-489,36592,LN-D00054,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,In Progress,19/Jan/26 4:18 PM,,,"||*Sensor ID*||*Allocation*||*Hand Over date*||
|Z32D-590-A1|18.1 Trial|{{2026-01-19}}|
|Z32D-590-C1|18.1 Trial|{{2026-01-19}}|
|Z32D-590-D1|Handover|{{2026-01-20}}|
|Z32D-590-D4|18.1 Trial|{{2026-01-19}}|
|Z32D-590-D6|Handover|{{2026-01-20}}|
|Z32D-591-B3|18.1 Trial|{{2026-01-19}}|
|Z32D-591-C4|Handover|{{2026-01-20}}|
|Z32D-591-C6|18.1 Trial|{{2026-01-19}}|
|Z32D-591-D3|Handover|{{2026-01-20}}|
|Z32D-591-D5|18.1 Trial|{{2026-01-19}}|
|Z32D-591-D6|18.1 Trial|{{2026-01-19}}|
|Z32D-591-F2|Handover|{{2026-01-20}}|
|Z32D-591-F3|18.1 Trial|{{2026-01-19}}|
|Z32D-591-F7|Handover|{{2026-01-20}}|
|Z32D-592-B7|18.1 Trial|{{2026-01-19}}|
|Z32D-592-C7|Handover|{{2026-01-20}}|
|Z32D-592-D2| | |
|Z32D-592-D3|Handover|{{2026-01-20}}|
|Z32D-593-A4|18.1 Trial|{{2026-01-19}}|
|Z32D-593-C8|18.1 Trial|{{2026-01-19}}|","Z32D-590

Z32D-593

Z32D-592

Z32D-591",,
QAG - Wearable Line - QA Release,QAG-488,36591,LN-D00053,Grace Chappell Facuse,712020:5316c26f-e0cc-4781-9709-8feff95c3e02,Approvals,19/Jan/26 4:18 PM,14.0,1.0,"||*Sensor ID*||*Allocation*||*Hand over date*||
|Z32A-514-A2|Biodot|{{2026-01-20}}|
|Z32A-514-A7|Biodot|Failed|
|Z32A-514-B3|Biodot|{{2026-01-20}}|
|Z32A-514-B4|Biodot|{{2026-01-20}}|
|Z32A-514-C1|Biodot|{{2026-01-20}}|
|Z32A-514-C5|Biodot|{{2026-01-20}}|
|Z32A-514-C6|Biodot|{{2026-01-20}}|
|Z32A-514-C7|Biodot|{{2026-01-20}}|
|Z32A-514-C8|Biodot|{{2026-01-20}}|
|Z32A-514-F1|Biodot|{{2026-01-20}}|
|Z32A-514-F4|Biodot|{{2026-01-20}}|
|Z32A-552-D8|Biodot|{{2026-01-20}}|
|Z32A-552-F5|Biodot|{{2026-01-20}}|
|Z32A-552-F6|Biodot|{{2026-01-20}}|","Z32A-514

Z32A-552",,
